t_ms,vrms_raw,irmsa_raw,irmsb_raw,awatt_raw,avar_raw,ava_raw,aenergy_raw,pf_raw,period_raw
366468,6591227,1773,1773,113,-219,696,0,0,3730
366568,6592969,1773,1773,78,-183,696,0,0,3730
366668,6595380,1773,1773,73,-201,696,0,0,3730
366768,6589755,1773,1773,93,-191,696,0,0,3731
366868,6592752,1773,1773,89,-154,696,0,0,3730
366968,6592305,1773,1773,94,-187,696,0,0,3730
367068,6588779,1773,1773,79,-175,695,0,0,3730
367168,6593439,1773,1773,75,-163,696,0,0,3731
367268,6592234,1773,1773,81,-148,696,0,0,3730
367368,6587736,1773,1773,84,-168,695,0,0,3730
367468,6584496,1773,1773,108,-195,695,0,0,3730
367568,6586041,1773,1773,68,-164,695,0,0,3730
367668,6585643,1773,1773,82,-196,695,0,0,3731
367768,6586355,1773,1773,83,-188,695,0,0,3730
367868,6589057,1773,1773,59,-196,695,0,0,3731
367968,6583908,1773,1773,66,-183,695,0,0,3730
368068,6585252,1773,1773,89,-205,695,0,0,3730
368168,6583805,1773,1773,68,-186,695,0,0,3731
368268,6585010,1773,1773,66,-193,695,0,0,3730
368368,6589485,1773,1773,83,-173,696,0,0,3731
368468,6592052,1773,1773,111,-191,696,0,0,3730
368568,6587930,1773,1773,90,-181,695,0,0,3730
368668,6587909,1773,1773,90,-200,695,0,0,3730
368768,6588066,1773,1773,112,-177,695,0,0,3730
368868,6591105,1773,1773,94,-176,696,0,0,3730
368968,6593597,1773,1773,68,-184,696,0,0,3729
369068,6588734,1773,1773,68,-190,695,0,0,3730
369168,6590403,1773,1773,88,-197,696,0,0,3730
369268,6590652,1773,1773,101,-197,696,0,0,3730
369368,6595980,1773,1773,73,-169,696,0,0,3730
369468,6597592,1773,1773,83,-182,696,0,0,3731
369568,6598890,1773,1773,70,-175,697,0,0,3730
369668,6597133,1773,1773,88,-194,696,0,0,3730
369768,6593712,1773,1773,108,-199,696,0,0,3730
369868,6595187,1773,1773,96,-175,696,0,0,3730
369968,6589465,1773,1773,90,-185,696,0,0,3730
370068,6587282,1773,1773,68,-176,695,0,0,3730
370168,6588943,1773,1773,99,-179,696,0,0,3730
370268,6592197,1773,1773,72,-185,696,0,0,3730
370368,6592625,1773,1773,83,-172,696,0,0,3731
370468,6599062,1773,1773,100,-172,697,0,0,3730
370568,6597391,1773,1773,95,-207,696,0,0,3729
370668,6600395,1773,1773,73,-211,697,0,0,3730
370768,6598161,1773,1773,90,-180,697,0,0,3730
370868,6597244,1773,1773,88,-200,696,0,0,3730
370968,6602176,1773,1773,63,-167,697,0,0,3730
371068,6594187,1773,1773,94,-201,696,0,0,3730
371168,6593174,1773,1773,109,-206,696,0,0,3730
371268,6599740,1773,1773,74,-170,697,0,0,3730
371368,6595303,1773,1773,85,-177,696,0,0,3729
371468,6593343,1773,1773,96,-179,696,0,0,3729
371568,6592113,1773,1773,57,-197,696,0,0,3730
371668,6594002,1773,1773,81,-209,696,0,0,3729
371768,6592909,1773,1773,64,-170,696,0,0,3730
371868,6589092,1773,1773,62,-187,696,0,0,3730
371968,6582063,1773,1773,114,-173,695,0,0,3730
372068,6583138,1773,1773,88,-199,695,0,0,3730
372168,6582599,1773,1773,73,-177,695,0,0,3730
372268,6586012,1773,1773,99,-179,695,0,0,3730
372368,6583709,1773,1773,58,-187,695,0,0,3729
372468,6588216,1773,1773,82,-201,695,0,0,3730
372568,6591125,1773,1773,71,-200,696,0,0,3729
372668,6594333,1773,1773,75,-191,696,0,0,3730
372768,6593569,1773,1773,95,-178,696,0,0,3729
372868,6593401,1773,1773,73,-174,696,0,0,3729
372968,6594594,1773,1773,77,-203,696,0,0,3729
373068,6589503,1773,1773,94,-171,696,0,0,3728
373168,6590440,1773,1773,99,-196,696,0,0,3729
373268,6594175,1773,1773,113,-197,696,0,0,3729
373368,6596560,1773,1773,98,-217,696,0,0,3730
373468,6594010,1773,1773,80,-194,696,0,0,3729
373568,6594307,1773,1773,114,-198,696,0,0,3729
373668,6594151,1773,1773,62,-189,696,0,0,3731
373768,6593405,1773,1773,79,-202,696,0,0,3730
373868,6596660,1773,1773,112,-195,696,0,0,3730
373968,6592284,1773,1773,73,-185,696,0,0,3730
374068,6584846,1773,1773,65,-193,695,0,0,3729
374168,6584067,1773,1773,69,-166,695,0,0,3729
374268,6586483,1773,1773,92,-192,695,0,0,3730
374368,6584145,1773,1773,78,-206,695,0,0,3730
374468,6584449,1773,1773,85,-196,695,0,0,3729
374568,6586816,1773,1773,88,-213,695,0,0,3729
374668,6589558,1773,1773,84,-203,696,0,0,3730
374768,6591791,1773,1773,106,-185,696,0,0,3730
374868,6591341,1773,1773,82,-188,696,0,0,3729
374968,6588712,1773,1773,78,-176,696,0,0,3729
375068,6590265,1773,1773,92,-167,696,0,0,3729
375168,6583725,1773,1773,77,-163,695,0,0,3730
375268,6581880,1773,1773,86,-195,695,0,0,3729
375368,6582163,1773,1773,65,-207,695,0,0,3728
375468,6586035,1773,1773,94,-185,695,0,0,3729
375568,6586924,1773,1773,72,-202,695,0,0,3730
375668,6583659,1773,1773,68,-210,695,0,0,3729
375768,6586888,1773,1773,104,-190,695,0,0,3729
375868,6586504,1773,1773,109,-188,695,0,0,3729
375968,6581478,1773,1773,91,-169,695,0,0,3729
376068,6579487,1773,1773,91,-170,695,0,0,3730
376168,6580963,1773,1773,71,-190,695,0,0,3730
376268,6584857,1773,1773,86,-177,695,0,0,3730
376368,6589998,1773,1773,83,-177,696,0,0,3730
376468,6595334,1773,1773,71,-176,696,0,0,3730
